"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"BATERIA DE SEPARACION CUICHAPA 1",CONTRATISTA,"BATERIA DE SEPARACION",2017/02/03,"FUERA DE OPERACION",
"BATERIA DE SEPARACION CINCO PRESIDENTES 5",CONTRATISTA,"BATERIA DE SEPARACION",2018/09/25,DESMANTELADA,
"PLATAFORMA HABITACIONAL EK-A",CONTRATISTA,"PLATAFORMA HABITACIONAL (TETRAPODO)",2017/10/06,OPERANDO,2009/07/24
"ESTACION DE RECOLECCION DE CRUDO EK-A PERFORACION",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO BALAM-TA",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO BALAM-TB",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO BALAM-TD",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO BALAM-TE",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO EK-TA",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO EK-TB",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,"FUERA DE OPERACION TEMPORAL",
"PLATAFORMA DE PERFORACION EK-A2",CONTRATISTA,"PLATAFORMA DE PERFORACION (OCTAPODO)",2017/10/06,"FUERA DE OPERACION TEMPORAL",2014/07/06
"PLATAFORMA DE PERFORACION BALAM-A",CONTRATISTA,"PLATAFORMA DE PERFORACION (OCTAPODO)",2017/10/06,"FUERA DE OPERACION TEMPORAL",2014/08/04
"ESTACION DE RECOLECCION DE CRUDO EK-A2",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,"FUERA DE OPERACION TEMPORAL",
"ESTACION DE RECOLECCION DE CRUDO BALAM-A",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,"FUERA DE OPERACION TEMPORAL",
"ESTACION DE RECOLECCION DE CRUDO BALAM-TC",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,"FUERA DE OPERACION DEFINITIVA",
"BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",CONTRATISTA,"BATERIA Y ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"BSA GASIFERO",CONTRATISTA,"BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE RECOLECCION DE CRUDO BALAM-1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/10/06,OPERANDO,
"SEPARADOR DE PRODUCCION  (FB-101)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"SEPARADOR DE MEDICION (FA-103)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"TRAMPA DE ENVIO DEL GASODUCTO DE 6 plg",CONTRATISTA,TRAMPA,2017/02/05,OPERANDO,
"SEPARADOR DE PRODUCCION (FA-101)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"SEPARADOR DE PRODUCCION  (SHTP-103)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"TRAMPAS DE ENVIO  DE LOS GASODUCTO DE 6 plg/8 plg",CONTRATISTA,TRAMPA,2017/02/05,OPERANDO,
"SEPARADOR DE PRODUCCION(SHTB-101A/B)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"SEPARADOR  ACUMULADOR DE GAS DE ISNTRUMENTOS (TK-118)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"TRAMPA DE ENVIO DEL GASODUCTO DE 6 plg Diam.",CONTRATISTA,TRAMPA,2017/02/05,OPERANDO,
"TRAMPA DE RECIBO DEL GASODUCTO DE 6 plg DE CAR-AUX.",CONTRATISTA,TRAMPA,2017/02/05,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA ELTREINTA 1",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA ELTREINTA 6",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA BEDEL 56",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA BEDEL 62",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"AREA DE TRAMPAS BEDEL",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE GAS MACROPERA BEDEL 1",CONTRATISTA,CABEZAL,2018/09/25,CERRADO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA BEDEL 1",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA GASIFERO 2",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA GASIFERO 31",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA GASIFERO 1",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION DE ACEITE MACROPERA GASIFERO 32",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE RECOLECCION PERIFERICO LAC 8",CONTRATISTA,CABEZAL,2019/10/22,OPERANDO,
"CABEZAL DE RECOLECCION PERIFERICO LAC 8A",CONTRATISTA,CABEZAL,2019/10/22,OPERANDO,
"CABEZAL DE LLEGADA DE POZOS BATERIA OTAES",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS OTA-17",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS OTA-25",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS OTA-51",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS BATERIA SMA-1",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-284",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-239",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-1029",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-173",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGA DA DE POZOS SMA-2000",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS BATERIA SMA-7",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-124",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-971",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-163",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-932",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-951",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL DE LLEGADA DE POZOS SMA-953",CONTRATISTA,CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL CHIRIMOYO",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION",
"TDE CABEZAL GIRALDAS-137",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL GIRALDAS-137",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL COPANO-21",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR COPANO-21",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL COPANO-21",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR CABEZAL COPANO-1",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR BATERIA COPANO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL COPANO",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL COPANO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL IRIS",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION TEMPORAL",
