CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
"SIN DATO","SIN DATO","LDD S ANITA 322-E S ANITA 2 3""X4.030KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-322","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",4.03
"SIN DATO","SIN DATO","LDD S ANITA 325-INT POZO SANTA ANITA 317 3""X.036KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-325","INT STA ANITA 317",3,"SIN DATO","SIN DATO",0.036
"SIN DATO","SIN DATO","LDD S ANITA326-MD S ANITA SUR 3""X2.554KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-326","MRG SANTA ANITA SUR",3,"SIN DATO","SIN DATO",2.554
"SIN DATO","SIN DATO","LDD S ANITA 331-ERG SANTA ANITA 2 3""X2.747KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-331","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",2.747
"SIN DATO","SIN DATO","LDD S ANITA 501-E S ANITA 2 3""X2.904KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-501","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",2.904
"SIN DATO","SIN DATO","LDD TUCURA 1-EST TUCURA 1 3""X1.813KM","LINEA DE DESCARGA",OPERANDO,TUCURA-1,"MRG TUCURA 1",3,"SIN DATO","SIN DATO",1.813
CGD0000113,PEP-SDC-GNE-AKC-P01-GDO-D0232,"GDO AKTJ-P - AKJ-P D232 24""  X 2.752 KM",GASODUCTO,OPERANDO,"AKAL-TJ (PERFORACION)","AKAL-J (PERFORACION)",24,"ACERO AL CARBON","GAS AMARGO",2.752
CGD0005903,PEP-NTE-ATG-TAJ-282-OLD-D4747,"OLD P MIRAND 392-ENT SA/PR 12"" x12.256KM",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","POZO MIRANDA 392","ENT SAN ANDRES POZA RICA I",12,"ACERO AL CARBON","NO APLICA",12.256
"SIN DATO","SIN DATO","LDD S ANITA 601-E S ANITA 2 3""X4.4669KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-601","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",4.669
"SIN DATO",PEP-NTE-BUR-RFC-658-LDD-L0010,"LDD TRAPICHE 1-MRG TRAPICHE 1 3""X1.948KM","LINEA DE DESCARGA",OPERANDO,TRAPICHE-1,"MRG TRAPICHE 1",3,"SIN DATO","SIN DATO",1.948
"SIN DATO","SIN DATO","LDD S ANITA 411-INTERCONEXION S ANITA 401 3""X.614KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-411","INT SANTA ANITA 401",3,"SIN DATO","SIN DATO",0.614
"SIN DATO","SIN DATO","LDD TRAPICHE 2-MRG TRAPICHE 1 3""X1.048KM","LINEA DE DESCARGA",OPERANDO,TRAPICHE-2,"MRG TRAPICHE 1",3,"SIN DATO","SIN DATO",1.048
"SIN DATO","SIN DATO","LDD TRAPICHE 29-EST TRAPI 1 3""X2.146KM","LINEA DE DESCARGA",OPERANDO,TRAPICHE-29,"ER TRAPICHE 1",3,"SIN DATO","SIN DATO",2.146
"SIN DATO","SIN DATO","LDD TRAPICHE 3-EST TRAPI 1 3""X1.256KM","LINEA DE DESCARGA",OPERANDO,TRAPICHE-3,"MRG TRAPICHE 1",3,"SIN DATO","SIN DATO",2.156
CGD0012699,PEP-NTE-BUR-RFC-454-GDO-D1191,"GDO EST ESCOBEDO1-GDO10 18MARZO 4""X2.6Km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","EST. ESCOBEDO 1","GDO. 10"" 18 DE MARZO",4,"ACERO AL CARBON","NO APLICA",2.6
"SIN DATO",PEP-NTE-BUR-CUL-408-LDD-L0440,"LDD ARCABUZ 440-ERG ARC NTE 1 3""X1.268KM","LINEA DE DESCARGA",OPERANDO,ARCABUZ-440,"MGR ARCABUZ NORTE 2",3,"SIN DATO","SIN DATO",1.268
"SIN DATO","SIN DATO","LDD ARCABUZ 651-INT LDD ARC 550 3""X0.914KM","LINEA DE DESCARGA",OPERANDO,ARCABUZ-651,"INT ARCABUZ 550",3,"SIN DATO","SIN DATO",0.914
"SIN DATO","SIN DATO","LDD MANDARIN 1-MRG TRAPI 1 6""X8.741KM","LINEA DE DESCARGA",OPERANDO,MANDARIN-1,"MRG TRAPICHE 1",6,"ACERO AL CARBON","GAS HUMEDO DULCE",8.741
"SIN DATO","SIN DATO","LDD ARCABUZ 650-INT LDD ARC 550 3""X1.587KM","LINEA DE DESCARGA",OPERANDO,ARCABUZ-650,"INT ARCABUZ 550",3,"SIN DATO","SIN DATO",1.587
CGD0009394,PEP-NTE-PRA-EPC-004-LDD-LA007,"LDD P AGUILA 7A-BSE 4 AGUILA 4""X0.432 KM","LINEA DE DESCARGA",OPERANDO,"POZO AGUILA 7A","BATERIA 4 AGUILA",4,"ACERO AL CARBON","ACEITE PESADO",0.432
CGD0018553,PEP-NTE-PRA-POZ-215-LDD-LS218,"LDD P ESCOL 218-BSE PR XI 4""X1.008KM","LINEA DE DESCARGA",OPERANDO,"POZO ESCOLIN 218","BSE POZA RICA XI",3,"ACERO AL CARBON",POZOLEO,0.695
CGD0006554,PEP-NTE-BUR-CUL-445-LDD-L0701,"LDD CULEBRA701-ECUL3A-8B 3""X 3.649KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CULEBRA 701","EST. CULEBRA 3A - 8B",3,"ACERO AL CARBON","DULCE HUMEDO",3.649
CGD0003008,PEP-SUR-CPT-BCN-A33-LDD-L0850,"LDD P OGA 850-CAB P OGA 827 3""X0.609 km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 0850","CABEZAL DEL POZO OGA 0827",3,"ACERO AL CARBON","ACEITE Y GAS",0.609
CGD0019525,PEP-NTE-BUR-RFC-392-LDD-L0031,"LDD SIGMA 31-ERG SIGMA 2 3"" X0.807KM","LINEA DE DESCARGA",OPERANDO,"POZO SIGMA 31","ERG SIGMA 2",3,"FLEXIBLE CON REFUERZO DE FIBRA","DULCE HUMEDO",0.807
CGD0004497,PEP-SUR-CPT-MOG-A47-LBN-D5851,"LBN INJ 2""RAM2""0+200-P SM1039 2""X0.062km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RAM 2"" KM 0+200","POZO S MAGALLANES 1039",2,"ACERO AL CARBON","GAS DULCE",0.062
CGD0014283,PEP-NTE-PRA-FJO-253-LDD-L0004,"LDD P N PROG 4-BSE N PROG 4""x0.700KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO NUEVO PROGRESO 4","BSE NUEVO PROGRESO",4,"ACERO AL CARBON","ACEITE Y GAS",0.7
CGD0016144,PEP-NTE-BUR-CUL-445-LDD-L0748,"LDD CULEBRA 748-E.CULEB8 3"" X3.927km","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 748","EST. CULEBRA 8",3,"ACERO AL CARBON","DULCE SECO",3.927
CGD0004875,PEP-SUR-BLJ-JTE-C77-GDO-D0283,"GDO BAT JUJO-BAT PAR 24""X12.822 km",GASODUCTO,OPERANDO,"BATERIA JUJO","BATERIA PAREDON",24,"ACERO AL CARBON","GAS AMARGO",12.822
CGD0002686,PEP-SUR-MAC-USU-C16-LDD-L0067,"LDD P HORMIGUERO 67-ER HOR 3""X 1.335 km","LINEA DE DESCARGA",OPERANDO,"POZO HORMIGUERO 67","EST REC HORMIGUERO",3,"ACERO AL CARBON","DULCE HUMEDO",1.335
CGD0019252,PEP-NTE-BUR-NEJ-603-LDD-L0013,"LDD NEJO 13- E  NEJO 1 3"" X0.969 KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 13","EST. NEJO 1",3,"ACERO AL CARBON","DULCE HUMEDO",0.969
CGD0013883,PEP-NTE-PRA-FJO-237-LDD-L0085,"LDD P JILIAP 85-BSE JILIAP I 3""x2.206KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 85","BSE JILIAPA I",3,"ACERO AL CARBON","ACEITE Y GAS",2.206
CGD0008763,PEP-NTE-BUR-NEJ-603-LDD-L0093,"LDD NEJO 93 - E  NEJO 1 3"" X3.951 KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 93","EST. NEJO 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.951
CGD0013850,PEP-NTE-PRA-FJO-237-LDD-L0011,"LDD P JILIAP 11-BSE JILIAP I  3""x1.795KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 11","BSE JILIAPA I",3,"ACERO AL CARBON","ACEITE Y GAS",1.795
CGD0013364,PEP-NTE-BUR-TOR-444-LDD-L624D,"LDD CUITL 624D-E CUITLAHUAC 4 3""X3.040KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CUITLAHUAC 624D","EST. CUITLAHUAC 4",3,"ACERO AL CARBON","NO APLICA",3.04
CGD0015870,PEP-SUR-CPT-CPB-A09-OLG-DBPP4,"OLG CAB 4-BAT 5P 3 4""X2.065 km",OLEOGASODUCTO,"FUERA DE OPERACION DEFINITIVA","CABEZAL 0004","BATERIA 5 PTES 0003",4,"ACERO AL CARBON","NO APLICA",2.065
CGD0002877,PEP-SUR-MAC-JCO-C37-LDD-L041A,"LDD P VERNET 41A - BAT VERNET 4""X2.370km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO VERNET 41A","BATERIA VERNET",4,"ACERO AL CARBON","ACEITE Y GAS",2.37
CGD0018649,PEP-NTE-BUR-CUE-443-LDD-L1157,"LDD CUERVITO1157-E CUERVITO1A 3""X1.374KM","LINEA DE DESCARGA",OPERANDO,"POZO CUERVITO 1157","EST. CUERVITO 1A",3,"ACERO AL CARBON","DULCE HUMEDO",1.374
CGD0017551,PEP-NTE-ATG-TAJ-223-OLD-DFURI,"OLD BSE FURB I-ENT FOBOS 8"" x0.614 KM",OLEODUCTO,OPERANDO,"BSE FURBERO I","ENT OLD 16""  FOBOS I-CAB TAJ",8,"ACERO AL CARBON","ACEITE PESADO",0.614
CGD0018617,PEP-NTE-PRA-TAC-005-LDD-L1140,"LDD PLAT CON 1140(LG)-B 7 CON 4""X1.355KM","LINEA DE DESCARGA",OPERANDO,"PLATAF CONSTITUCIONES 1140(LG)","BATERIA 7 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE PESADO",1.355
CGD0019507,PEP-NTE-BUR-RFC-447-LDD-L0021,"LDD CHAPUL 21-ERG CHAPUL 2 3"" X0.655KM","LINEA DE DESCARGA",OPERANDO,"POZO CHAPUL 21","ERG CHAPUL 2",3,"FLEXIBLE CON REFUERZO METALICO","DULCE HUMEDO",0.655
CGD0013658,PEP-NTE-PRA-POZ-215-LDD-L0244,"LDD P ESCOL 244-K REC PR VI 4""X0.900KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ESCOLIN 244","K REC POZA RICA VI",4,"ACERO AL CARBON","ACEITE Y GAS",0.9
CGD0001696,PEP-SUR-CPT-MOG-A47-GDO-DM001,"GDO BAT S MAG 4-INJ GDO 16"" 12""X1.146 km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","BATERIA S MAGALLANES 4","INJ. GDO. 16""",12,"ACERO AL CARBON","GAS DULCE",1.146
CGD0018733,PEP-NTE-PRA-TAC-005-LDD-L9120,"LDD PLAT CON 120(LM)-BS 7 CON 4""X0.281KM","LINEA DE DESCARGA",OPERANDO,"PLATAF CONSTITUCIONES 120 (LM)","BATERIA 7 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE PESADO",0.281
CGD0000540,PEP-SDC-GSR-SSG-F58-GDO-D0018,"GDO TDE BAT VERNET-TDE CPGCP 8""X14.840Km",GASODUCTO,OPERANDO,"TDE BATERIA VERNET","TD C.P.G. CD. PEMEX",8,"ACERO AL CARBON",SECO,14.84
CGD0010811,PEP-NTE-ATG-SLD-077-LDD-L0749,"LDD P COYO 749-BSE COYO II 3"" x0.010KM","LINEA DE DESCARGA",OPERANDO,"POZO COYOTES 749","BSE COYOTES II",3,"ACERO AL CARBON","ACEITE Y GAS",0.01
CGD0019108,PEP-NTE-BUR-NEJ-603-LDD-L001D,"LDD NEJO 1D - E NEJO 3 3""X1.855KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 1D","EST. NEJO 3",3,"ACERO AL CARBON","DULCE HUMEDO",1.855
CGD0016143,PEP-NTE-BUR-CUL-445-LDD-L0352,"LDD CULEBRA 352-E CULEBRA 11 3""X0.757KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 352","EST. CULEBRA 11",3,"ACERO AL CARBON","DULCE HUMEDO",0.757
CGD0006173,PEP-NTE-BUR-CUL-445-LDD-L0270,"LDD CULEBRA 270 -E CULEBRA 9 3""X5.075KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 270","EST. CULEBRA 9",3,"ACERO AL CARBON","DULCE HUMEDO",5.075
CGD0000385,PEP-SDC-GSO-IYA-S01-GLD-D0099,"GLD ABK PTB-1/ABK-A PERM 6""X6.160 km",GASOLINODUCTO,OPERANDO,"ABKATUN PTB-1","ABKATUN-A PERMANENTE",6,"ACERO AL CARBON",CONDENSADO,6.16
CGD0006513,PEP-NTE-BUR-CUL-445-LDD-L0660,"LDD CULEBRA 660 -E CULEBRA 1  3""X2.230KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 660","EST. CULEBRA 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.23
CGD0005463,PEP-SUR-SML-CUN-D48-OLD-D0186,"OLD B IRI-C.A.B. CUN 16""X2.207 km",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","BATERIA IRIDE","C.A.B. CUNDUACAN",16,"ACERO AL CARBON","GAS COMBUSTIBLE",2.207
CGD0019296,PEP-NTE-BUR-NEJ-603-LDD-L0119,"LDD NEJO 119-E NEJO 1 3""X4.652KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO NEJO 119","EST. NEJO 1",3,"ACERO AL CARBON","DULCE HUMEDO",4.652
CGD0012486,PEP-NTE-BUR-LMA-474-LDD-L0031,"LDD JAUJAL 31- E JAUJAL 1  3""X 3.557  KM","LINEA DE DESCARGA",OPERANDO,"POZO JAUJAL 31","EST. JAUJAL 1",3,"ACERO AL CARBON","DULCE SECO",3.557
CGD0005579,PEP-SUR-SML-SAM-D54-SDO-D0557,"SDO CAB SAM 290-P SAM 290 8""X0.073 km",SALODUCTO,"FUERA DE OPERACION TEMPORAL","CABEZAL SAMARIA 290 (OESTE)","POZO ENTRONQUE SAMARIA 290",8,"ACERO AL CARBON","AGUA CONGENITA",0.073
CGD0006663,PEP-NTE-BUR-LMA-474-LDD-L2031,"LDD JAUJAL 2031- E JAUJAL 1  3""X 1.023KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO JAUJAL 2031","EST. JAUJAL 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.023
CGD0009787,PEP-NTE-PRA-EPC-008-LDD-LT106,"LDD P TULILLO 106D-ES EBANO 4 4""X0.300KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TULILLO 106D","ESTACION EBANO 4",4,"ACERO AL CARBON","ACEITE Y GAS",0.3
CGD0016327,PEP-SUR-CPT-CPB-A09-LDD-L0924,"LDD P 5PTES 0924-CAB 5P 0950 4""X0.070 km","LINEA DE DESCARGA",OPERANDO,"POZO 5 PTES 0924","CABEZAL 5 PTES 0950",4,"ACERO AL CARBON","ACEITE Y GAS",0.07
CGD0001183,PEP-SUR-SML-CUN-D51-LDD-L1262,"LDD P OXI 42 - B OXI 4""X2.097 km","LINEA DE DESCARGA",OPERANDO,"POZO OXIACAQUE 42","BATERIA OXIACAQUE",4,"ACERO AL CARBON","ACEITE Y GAS",1.459
CGD0010196,PEP-NTE-PRA-EPC-014-LDD-LC159,"LDD P CORONA 159-EST SALVACH 8""X1.864KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CORONA 159","ESTACION SALVASUCHIL",8,"ACERO AL CARBON","ACEITE Y GAS",1.864
CGD0016160,PEP-NTE-BUR-TOR-444-LDD-L0466,"LDD CUITL 466- E CUITLAHUAC 6 3""X1.199KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 466","EST. CUITLAHUAC 6",3,"ACERO AL CARBON","DULCE HUMEDO",1.199
CGD0015917,PEP-NTE-BUR-LMA-626-LDD-LG001,"LDD GEKO 1-INT CARAVANA 15 3""X 0.072Km","LINEA DE DESCARGA",OPERANDO,"POZO GEKO 1","INT. CARAVANA 15 (E. RENO 1)",3,"ACERO AL CARBON","DULCE SECO",0.072
CGD0018038,PEP-NTE-BUR-RFC-392-LDD-L0064,"LDD SIGMA 64-EST FUNDADOR 1 3""X4.890KM","LINEA DE DESCARGA",OPERANDO,"POZO SIGMA 64","EST. REC. GAS FUNDADOR 1",3,"ACERO AL CARBON",HUMEDO,4.89
CGD0015544,PEP-NTE-PRA-SNA-271-LIA-D2017,"LIA LINEA 5-P-PALEM 63 10"" x1.900KM","LINEA DE INYECCION DE AGUA",OPERANDO,"POZO PRESIDENTE ALEMAN 5","POZO PRESIDENTE ALEMAN 63",10,"ACERO AL CARBON","AGUA DE SERVICIO",1.9
CGD0001621,PEP-SUR-CPT-BCN-A33-OLG-DBN01,"OLG CAB P OGA 813-BAT OGA 5 6""X1.213 km",OLEOGASODUCTO,OPERANDO,"CABEZAL DEL POZO OGA 0813","BATERIA OGARRIO 0005",6,"ACERO AL CARBON","ACEITE Y GAS",1.213
CGD0007216,PEP-NTE-BUR-CUE-541-LDD-L478D,"LDD STA ROSA 478D-E STAROSA 1 3""X1.265KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO STA. ROSALIA 478DIR","EST. STA. ROSALIA 1",3,"ACERO AL CARBON",SECO,1.265
CGD0004876,PEP-SUR-BLJ-JTE-C77-GLD-D0305,"GLD BAT JUJO-BAT PAR 8""X12.789 km",GASOLINODUCTO,"FUERA DE OPERACION TEMPORAL","BATERIA JUJO","BATERIA PAREDON",8,"ACERO AL CARBON",CONDENSADO,12.789
CGD0002332,PEP-SUR-BLJ-BCH-B43-GDO-DB002,"GDO BAT BLL 114-BAT BLL 10""X6.618 km",GASODUCTO,OPERANDO,"BATERIA BELLOTA 114","BATERIA BELLOTA",10,"ACERO AL CARBON",ACEITE,6.618
CGD0002476,PEP-SUR-BLJ-CAR-B53-LDD-L0001,"LDD P MRA 1-BAT MRA 10""X0.760 km","LINEA DE DESCARGA",OPERANDO,"POZO MORA 1","BATERIA MORA",10,"ACERO AL CARBON","ACEITE Y GAS",0.76
CGD0008767,PEP-NTE-BUR-LMA-439-LDD-L0636,"LDD CORINDON 636-MD CORIN 585 3""X2.528KM","LINEA DE DESCARGA",OPERANDO,"POZO CORINDON 636","MOD CORINDON 585 (E CORIN 2)",3,"ACERO AL CARBON","DULCE SECO",2.528
CGD0004759,PEP-SUR-CPT-MOG-A47-LIA-D4445,"LIA E08-P176D A47 3""X0.200km","LINEA DE INYECCION DE AGUA","FUERA DE OPERACION DEFINITIVA","ESTACION 0008","POZO S MAGALLANES 176D",3,"ACERO AL CARBON","AGUA CONGENITA",0.2
CGD0004760,PEP-SUR-CPT-MOG-A47-LIA-D4446,"LIA E08-P0179 A47 3""X0.050km","LINEA DE INYECCION DE AGUA","FUERA DE OPERACION DEFINITIVA","ESTACION 0008","POZO S MAGALLANES 0179",3,"ACERO AL CARBON","AGUA CONGENITA",0.05
CGD0004945,PEP-SUR-BLJ-JTE-C78-GDO-DP008,"GDO BAT PAR-ECOM PAR 16""X0.468 km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","BATERIA PAREDON","COMPRESORAS PAREDON",16,"ACERO AL CARBON","GAS AMARGO",0.468
CGD0000849,PEP-SUR-CPT-CUM-A30-OLG-D0092,"OLG CAB MOL 106A-CAB MOL 105 4""X0.604 km",OLEOGASODUCTO,OPERANDO,"CABEZAL POZO MOLOACAN 106A","CABEZAL POZO MOLOACAN 105",4,"ACERO AL CARBON","ACEITE Y GAS",0.604
CGD0018840,PEP-NTE-ATG-AGF-175-OLG-D8349,"OLG MP AF 269 - MP AF 283 6"" X1.363 KM",OLEOGASODUCTO,OPERANDO,"MP AGUA FRIA 269 (289)","MP AGUA FRIA 283",6,"ACERO AL CARBON","ACEITE Y GAS",1.363
CGD0000867,PEP-SUR-CPT-CUM-A30-OLG-D0105,"OLG CAB P MOL 0112-BAT MOL1 3""X1.141 km",OLEOGASODUCTO,OPERANDO,"CABEZAL POZO MOLOACAN 112","BATERIA MOLOACAN 0001",3,"ACERO AL CARBON","ACEITE Y GAS",1.141
CGD0008582,PEP-NTE-VER-BM1-712-LDD-L0408,"LDD P MATAP 408-COL MATAP II 4 x1.496Km","LINEA DE DESCARGA",OPERANDO,"POZO MATAPIONCHE 408","COL MATAPIONCHE II",4,"ACERO AL CARBON","AGUA CONGENITA",1.496
CGD0013389,PEP-NTE-PRA-FJO-173-LDD-L0004,"LDD P ACUATEM 4-BSE ACUATEM 4""x0.810KM","LINEA DE DESCARGA",OPERANDO,"POZO ACUATEMPA 4","BSE ACUATEMPA",4,"ACERO AL CARBON",POZOLEO,0.81
CGD0000549,PEP-SDC-GSR-SSG-F54-GDO-D0003,"GDO TDE LUNA-TDR PIJIJE 20""X9.486 km",GASODUCTO,OPERANDO,"TDE LUNA","TDR PIJIJE",20,"ACERO AL CARBON","GAS AMARGO",9.486
CGD0018701,PEP-SUR-BLJ-JTE-C77-OLG-D0001,"OLG CAB JUJO 52-BAT JUJO 12""X2.926 km",OLEOGASODUCTO,"FUERA DE OPERACION TEMPORAL","CABEZAL PERIF RICO JUJO 52","BATERIA JUJO",12,"ACERO AL CARBON","ACEITE Y GAS",2.926
CGD0003321,PEP-SUR-CPT-CPB-A09-LBN-D6148,"LBN INT KM 2+000-P 5 PT 0161 2""X0.054 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INT KM 2+000","POZO 5 PTES 0161",2,"ACERO AL CARBON","DULCE HUMEDO",0.054
CGD0008385,PEP-NTE-BUR-CUE-541-LDD-L0554,"LDD STA ROSA 554-E STA ROSA 2 3""X2.708KM","LINEA DE DESCARGA",OPERANDO,"POZO STA. ROSALIA 554","EST. STA. ROSALIA 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.708
CGD0005633,PEP-SUR-SML-SAM-D54-LDD-L0708,"LDD P SAM 71-CAB SAM 3 6""X1.682 km","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 71","CABEZAL  BATERIA SAMARIA III",6,"ACERO AL CARBON","ACEITE Y GAS",1.682
CGD0008284,PEP-NTE-BUR-RFC-586-LDD-L0014,"LDD FUNDADOR 14-E FUNDADOR 1 3""X1.074KM","LINEA DE DESCARGA",OPERANDO,"POZO FUNDADOR 14","EST. FUNDADOR 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.074
CGD0017080,PEP-SUR-MAC-JCO-C45-LDD-L0007,"LDD P SHISHIT 7-BAT SHISHIT 4""X0.404 km","LINEA DE DESCARGA",OPERANDO,"POZO SHISHITO 7","BATERIA SHISHITO",4,"ACERO AL CARBON","ACEITE Y GAS",0.404
CGD0014458,PEP-NTE-PRA-POZ-270-LDD-L0226,"LDD P PR 226A-BSE PR V 4""x2.485KM","LINEA DE DESCARGA",OPERANDO,"POZO POZA RICA 226A","BSE POZA RICA V",4,"ACERO AL CARBON",POZOLEO,2.485
CGD0008885,PEP-NTE-BUR-LMA-647-LDD-L0005,"LDD BONANZA 5 - E BONANZA 1 3""X0.997 Km","LINEA DE DESCARGA",OPERANDO,"POZO BONANZA 5","EST. BONANZA 1",3,"ACERO AL CARBON","DULCE SECO",0.997
CGD0014076,PEP-NTE-ATG-SLD-246-LDD-L0019,"LDD P MIQ 19-BSE MIQ I 4"" x1.843KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 19","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE Y GAS",1.843
CGD0005201,PEP-SUR-MUS-CSG-D43-LDD-L0065,"LDD P CACTUS 107R3-CAB CAC 05 6""X1.805km","LINEA DE DESCARGA",OPERANDO,"POZO CACTUS 107R3","CABEZAL CACTUS 05",6,"ACERO AL CARBON","ACEITE Y GAS",1.805
CGD0018648,PEP-NTE-BUR-CUE-443-LDD-L1111,"LDD CUERVITO1111-E CUERVITO1 3""X1.484KM","LINEA DE DESCARGA",OPERANDO,"POZO CUERVITO 1111","EST. CUERVITO 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.484
CGD0000859,PEP-SUR-CPT-BCN-A33-LBN-D0202,"LBN RAM 2"" RBN 6""-P OGA 818D 2""X0.048 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"RAMAL DE 2""EN RBN 6"" KM 5+300","POZO OGARRIO 818D",2,"ACERO AL CARBON","GAS DULCE",0.048
CGD0000349,PEP-SDC-GNE-ATA-Q31-ACL-D0SC3,"ACL ATA - ATA   D-0SC3 48""   X 20.016 KM","ACUMULADOR DE LIQUIDOS",OPERANDO,ATASTA,"ATASTA (SC3)",48,"ACERO AL CARBON","GAS AMARGO",20.016
CGD0005749,PEP-SUR-SML-SAM-D54-LBN-D0839,"LBN INT B SAM III-INT PSAM62A 8""X0.723km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INT. BAT. SAMARIA III","INT. POZO SAMARIA 62A",8,"ACERO AL CARBON",SECO,0.723
CGD0009170,PEP-NTE-BUR-CUE-552-LDD-L1027,"LDD  TOPO 1027 - E Topo 2 3"" X0.574 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TOPO 1027","EST. TOPO 2",3,"ACERO AL CARBON","DULCE HUMEDO",0.574
CGD0011725,PEP-NTE-PRA-TAC-020-LDD-LT137,"LDD P TAMPS 137-BSE 6 TAMPS 4""X0.455Km","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 137","BATERIA 6 TAMAULIPAS",4,"FIBRA DE VIDRIO","ACEITE Y GAS",0.455
CGD0017896,PEP-NTE-ATG-AGF-214-OLG-D103D,"OLG MP ESCO 103D-BSE JAPETO 6"" x3.700KM",OLEOGASODUCTO,OPERANDO,"MP ESCOBAL 103D","BSE JAPETO",6,"FLEXIBLE CON REFUERZO DE FIBRA",ACEITE,3.7
CGD0018634,PEP-NTE-PRA-FJO-285-LDD-LPI31,"LDD P PIRAMIDE31-INT TEJADA63 4""x1.319KM","LINEA DE DESCARGA",OPERANDO,"POZO PIRAMIDE 31","INT. P. TEJADA 63 - BSE TEJADA",4,"ACERO AL CARBON",POZOLEO,1.319
CGD0015995,PEP-SUR-CPT-MOG-A46-LBN-D0031,"LBN INT KM 3+550-P SNR 0031 2""X0.067 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION TEMPORAL","INT KM 3+550","POZO SAN RAMON 0031",2,"ACERO AL CARBON","GAS DULCE",0.067
CGD0013661,PEP-NTE-PRA-POZ-270-OLG-D3075,"OLG K REC PR VI-BSE PR XX 4""x1.200KM",OLEOGASODUCTO,"FUERA DE OPERACION DEFINITIVA","K REC POZA RICA VI","BSE POZA RICA XX",4,"ACERO AL CARBON","ACEITE Y GAS",1.2
